Quadrant,ASN,CC,Cone,Percentile,Name
Q2: THE VICTIMS,3223,GB,679,74.95386779184247,Voxility LLP
Q2: THE VICTIMS,4800,ID,638,74.34913194444445,PT Aplikanusa Lintasarta
Q2: THE VICTIMS,23520,US,634,70.4764525993884,"Columbus Networks USA, Inc."
Q2: THE VICTIMS,23947,ID,469,73.85643340857789,PT Mora Telematika Indonesia Tbk
Q2: THE VICTIMS,18229,IN,448,93.3693298969072,CtrlS
Q2: THE VICTIMS,10075,BD,399,97.57881548974943,Fiber@Home Global Limited
Q2: THE VICTIMS,55836,IN,395,78.24816753926702,Reliance Jio Infocomm Limited
Q2: THE VICTIMS,55410,IN,370,79.09378378378379,Vodafone Idea Ltd
Q2: THE VICTIMS,45820,IN,336,80.34241573033708,Tata Teleservices ISP
Q2: THE VICTIMS,35297,UA,320,67.17830188679247,Dataline LLC
Q2: THE VICTIMS,139009,BD,320,98.50193548387097,Windstream Communication Limited
Q2: THE VICTIMS,13237,DE,317,60.27464285714285,euNetworks GmbH
Q2: THE VICTIMS,29119,ES,314,81.24984326018809,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL
Q2: THE VICTIMS,206499,GB,301,76.70074626865673,LOCIX LIMITED
Q2: THE VICTIMS,24785,NL,297,81.45510204081633,Joint Transit (Broadband Hosting B.V.)
Q2: THE VICTIMS,42337,IR,278,89.54496402877697,Respina Networks & Beyond PJSC
Q2: THE VICTIMS,58682,BD,277,98.70652173913044,Level3 Carrier Ltd.
Q2: THE VICTIMS,139341,SG,259,71.819375,WeChat/QQ CDN
Q2: THE VICTIMS,54994,CA,253,75.07257142857142,Meteverse Limited
Q2: THE VICTIMS,35661,FR,251,66.51275167785236,VIRTUA SYSTEMS SAS
Q2: THE VICTIMS,20940,NL,250,70.27714285714285,Akamai International B.V.
Q2: THE VICTIMS,12552,SE,240,61.38713692946058,GlobalConnect (IP-Only)
Q2: THE VICTIMS,59796,SK,238,82.38008474576272,StormWall s.r.o.
Q2: THE VICTIMS,9299,PH,231,69.79786324786325,PLDT (Philippine Long Distance Telephone Company)
Q2: THE VICTIMS,9730,IN,230,85.54541484716158,Bharti Telesonic Ltd
Q2: THE VICTIMS,24429,CN,226,74.51569343065694,Alibaba Cloud
Q2: THE VICTIMS,133095,ID,224,90.19174757281553,PT Pusat Fiber Indonesia
Q2: THE VICTIMS,131111,ID,222,72.15867346938775,PT Mora Telematika Indonesia Tbk
Q2: THE VICTIMS,43298,RU,221,60.082673267326726,Storm Networks LLC
Q2: THE VICTIMS,4787,ID,221,77.25662100456621,PT Cyberindo Aditama
Q2: THE VICTIMS,6663,RO,210,68.59157303370787,Türk Telekom International
Q2: THE VICTIMS,7717,ID,208,77.74337016574586,OpenIXP Route Servers
Q2: THE VICTIMS,17557,PK,203,80.46711711711713,Pakistan Telecommunication Company Limited
Q2: THE VICTIMS,8717,BG,199,87.12878787878786,A1 Bulgaria EAD
Q2: THE VICTIMS,38195,AU,198,68.67487179487179,Superloop
Q2: THE VICTIMS,9009,RO,193,73.7210743801653,M247 Europe SRL
Q2: THE VICTIMS,199995,UA,188,64.61428571428571,Omega Telecom LLC
Q2: THE VICTIMS,57344,BG,180,86.06833333333333,Telehouse EAD
Q2: THE VICTIMS,6204,RO,177,81.39483870967743,INTERKVM HOST SRL
Q2: THE VICTIMS,9050,RO,174,67.66342857142857,Orange Romania S.A.
Q2: THE VICTIMS,16509,US,170,82.221875,"Amazon.com, Inc."
Q2: THE VICTIMS,8866,BG,170,95.1309090909091,Vivacom Bulgaria EAD
Q2: THE VICTIMS,30781,FR,170,68.30833333333332,Free Pro SAS
Q2: THE VICTIMS,36236,US,169,69.9054054054054,"NetActuate, Inc"
Q2: THE VICTIMS,8455,NL,166,82.51360544217687,atom86 BV
Q2: THE VICTIMS,52361,AR,165,89.50462427745664,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.
Q2: THE VICTIMS,41327,IT,164,84.20975609756098,Fiber Telecom S.p.A.
Q2: THE VICTIMS,34224,BG,162,89.07546012269938,Neterra Ltd.
Q2: THE VICTIMS,12578,LV,161,77.53167701863354,SIA Tet
Q2: THE VICTIMS,5603,SI,156,69.07549668874172,"Telekom Slovenije, d.d."
Q2: THE VICTIMS,24961,DE,152,64.61605839416058,WIIT AG (fka. myLoc Managed IT AG)
Q2: THE VICTIMS,45903,VN,150,85.3512987012987,CMC Telecom Infrastructure Company
Q2: THE VICTIMS,58495,ID,148,87.27151898734176,PT Parsaoran Global Datatrans
