asn,name,cc,cone,verdict,apnic_score,dirty,total
45204,GEMNET LLC,MN,34,PARTIAL (Mixed Feeds),-1.0,24,28
197071,active 1 GmbH,DE,34,PARTIAL (Mixed Feeds),-1.0,3,5
265061,GC NET,BR,34,PARTIAL (Mixed Feeds),1.04,2,3
133001,Airnet Cable And Datacom Pvt Ltd,IN,34,VULNERABLE (No Coverage),0.09,6,6
680,Deutsches Forschungsnetz (DFN),DE,34,SECURE (Active Local ROV),99.67,1,3
17054,Expedient,US,34,SECURE (Active Local ROV),100.0,3,8
59105,Home NOC Operators Group,JP,33,PARTIAL (Mixed Feeds),-1.0,5,7
34565,TurkIX Communications Ltd.,TR,33,IXP / Peer / Stub,-1.0,0,0
4007,"Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal",NP,33,VULNERABLE (No Coverage),0.34,4,4
262253,Fiberlux,PE,33,PARTIAL (Mixed Feeds),1.69,2,4
3329,Vodafone Greece,GR,33,SECURE (Active Local ROV),99.97,2,3
786,Jisc Services Limited,GB,33,SECURE (Active Local ROV),99.51,1,2
59191,PEERCAST TELECOM INDIA PVT LTD,IN,32,VULNERABLE (No Coverage),0.17,2,2
37288,West and Central African Research Network,GH,32,PARTIAL (Mixed Feeds),-1.0,1,2
29670,"Individual Network Berlin (""IN-Berlin"") e.V.",DE,32,PARTIAL (Mixed Feeds),-1.0,5,8
